Fecha,Caudalímetro 5,Consumo de energía sin restabecim. RTAE 5,Cto.1 Número de arranques del compresor,Cto.1 Presión del refrigerante del condensador,Cto.1 Presión del refrigerante del evaporador,Cto.1 Temperatura de saturación del refrigerante del condensador,Cto.1 Temperatura de saturación del refrigerante del evaporador,Cto.1 Tiempo de operación del compresor,Cto.2 Número de arranques del compresor,Cto.2 Presión del refrigerante del condensador,Cto.2 Presión del refrigerante del evaporador,Cto.2 Temperatura de saturación de refrigerante de evaporador,Cto.2 Temperatura de saturación de refrigerante del condensador,Cto.2 Tiempo de operación del compresor,Punto de ajuste activo de agua helada,Temperatura de entrada de agua,Temperatura de salida de agua,Temperatura del medio ambiente,iso_anomaly
2025-03-18,200.0,8721440.0,5370.0,1560.0,288.0,59.2,8.0,56930.0,4497.0,1754.0,298.0,8.8,63.8,52965.0,9.5,13.6,12.1,30.0,False
2025-03-19,202.0,8727399.0,5370.0,1598.0,290.0,60.7,8.2,56954.0,4497.0,1840.0,303.0,9.2,66.5,52989.0,9.5,13.3,12.1,32.0,True
2025-03-20,202.0,8733192.0,5370.0,1500.0,289.0,57.8,8.2,56977.0,4497.0,1641.0,299.0,8.9,61.5,53011.0,9.5,13.7,11.9,28.0,False
2025-03-21,208.0,8739160.0,5370.0,1516.0,290.0,58.3,8.3,57001.0,4497.0,1739.0,301.0,9.1,63.0,53035.0,9.5,13.8,11.8,28.0,False
2025-03-22,201.0,8742569.0,5370.0,1516.0,290.0,58.3,8.3,57001.0,4497.0,1533.0,302.0,9.1,58.0,53053.0,9.5,14.1,11.8,16.0,True
2025-03-24,184.0,8752352.0,5373.0,1744.0,264.0,63.9,6.3,57032.0,4499.0,1455.0,267.0,6.5,56.7,53105.0,9.5,11.5,9.8,26.0,False
2025-03-25,208.0,8757081.0,5373.0,1429.0,275.0,56.1,7.2,57057.0,4499.0,1545.0,286.0,7.9,54.0,53130.0,9.0,13.0,10.8,26.0,False
2025-03-26,200.0,8763064.0,5373.0,1519.0,274.0,57.0,7.0,57080.0,4499.0,1612.0,283.0,7.8,60.0,53154.0,9.0,12.9,11.0,28.0,False
2025-03-27,195.0,8768701.0,5373.0,1690.0,275.0,63.0,7.3,57104.0,4499.0,1704.0,288.0,8.2,63.1,53200.0,9.0,13.0,11.3,28.0,False
2025-03-28,192.0,8774356.0,5373.0,1713.0,267.0,62.9,6.6,57129.0,4499.0,1776.0,279.0,7.5,64.8,53202.0,9.0,12.2,10.5,31.0,False
2025-03-29,209.0,8778001.0,5373.0,1186.0,265.0,49.2,6.3,57146.0,4499.0,1291.0,274.0,7.1,52.1,53220.0,9.0,12.6,9.2,16.0,False
2025-03-31,204.0,8790883.0,5373.0,1507.0,274.0,58.0,7.1,57202.0,4499.0,1680.0,286.0,8.0,62.5,53275.0,9.0,12.3,10.9,31.0,False
2025-04-01,202.0,8796196.0,5373.0,1529.0,274.0,60.6,7.1,57226.0,4499.0,1703.0,284.0,7.8,63.1,53299.0,9.0,12.2,11.2,31.0,False
2025-04-02,191.0,8801578.0,5373.0,1613.0,272.0,61.0,6.9,57250.0,4499.0,1701.0,282.0,7.5,62.8,53323.0,9.0,12.2,10.9,32.0,False
2025-04-03,195.0,8806505.0,5373.0,1687.0,270.0,63.1,6.7,57272.0,4499.0,1764.0,285.0,7.9,64.0,53345.0,9.0,12.4,11.1,30.0,False
2025-04-04,204.0,8812431.0,5373.0,1578.0,271.0,59.8,6.9,57297.0,4499.0,1698.0,281.0,7.6,62.7,53370.0,9.0,12.0,10.8,29.0,False
2025-04-05,210.0,8816521.0,5373.0,1293.0,261.0,52.1,6.1,57314.0,4499.0,1420.0,270.0,6.7,55.7,53387.0,9.0,12.4,9.2,18.0,False
2025-04-07,203.0,8830080.0,5373.0,1516.0,281.0,60.9,7.6,57370.0,4499.0,1748.0,293.0,8.4,64.0,53443.0,9.0,13.2,11.3,29.0,False
2025-04-08,190.0,8835200.0,5373.0,1504.0,265.0,57.0,6.3,57393.0,4499.0,1657.0,275.0,7.0,61.0,53466.0,9.0,12.0,9.9,26.0,False
2025-04-09,198.0,8840569.0,5373.0,1528.0,287.0,58.9,8.0,57418.0,4499.0,1648.0,294.0,8.5,61.7,53491.0,9.0,13.1,11.4,27.0,False
2025-04-10,188.0,8846310.0,5374.0,1487.0,263.0,57.0,6.3,57442.0,4500.0,1601.0,273.0,7.0,60.0,53515.0,9.0,12.2,10.0,25.0,False
2025-04-11,205.0,8851673.0,5374.0,1427.0,263.0,56.0,6.1,57466.0,4500.0,1531.0,271.0,6.9,58.8,53539.0,9.0,11.8,9.8,23.0,False
2025-04-12,196.0,8854927.0,5374.0,1100.0,268.0,46.3,6.6,57482.0,4500.0,1195.0,267.0,7.3,49.0,53555.0,9.0,12.5,9.2,15.0,False
2025-04-14,194.0,8867557.0,5374.0,1507.0,265.0,58.0,6.4,57538.0,4500.0,1621.0,275.0,7.1,61.0,53611.0,9.0,12.1,10.3,27.0,False
2025-04-15,192.0,8872934.0,5374.0,1510.0,271.0,58.1,6.8,57562.0,4500.0,1634.0,282.0,7.6,61.3,53635.0,9.0,12.5,10.6,25.0,False
2025-04-16,186.0,8878324.0,5374.0,1592.0,269.0,58.8,6.7,57586.0,4500.0,1669.0,279.0,7.4,62.0,53659.0,9.0,12.3,10.6,27.0,False
2025-04-17,206.0,8884453.0,5374.0,1757.0,302.0,64.4,9.2,57610.0,4500.0,1944.0,312.0,9.9,68.6,53683.0,9.0,14.1,12.6,33.0,True
2025-04-18,181.0,8888253.0,5374.0,1123.0,261.0,46.0,6.0,57628.0,4500.0,1168.0,269.0,6.7,48.5,53701.0,9.0,10.8,9.0,22.0,False
